round,table_usage,runtime_ns
0,1.19,78.00
0,2.38,35.00
0,3.58,39.00
0,4.77,36.00
0,5.96,35.00
0,7.15,36.00
0,8.34,36.00
0,9.54,39.00
0,10.73,36.00
0,11.92,39.00
0,13.11,36.00
0,14.31,39.00
0,15.50,39.00
0,16.69,40.00
0,17.88,43.00
0,19.07,43.00
0,20.27,44.00
0,21.46,44.00
0,22.65,44.00
0,23.84,47.00
0,25.03,44.00
0,26.23,47.00
0,27.42,48.00
0,28.61,48.00
0,29.80,48.00
0,30.99,51.00
0,32.19,51.00
0,33.38,51.00
0,34.57,52.00
0,35.76,55.00
0,36.95,55.00
0,38.15,56.00
0,39.34,59.00
0,40.53,56.00
0,41.72,63.00
0,42.92,67.00
0,44.11,67.00
0,45.30,67.00
0,46.49,67.00
0,47.68,68.00
0,48.88,67.00
0,50.07,68.00
0,51.26,75.00
0,52.45,75.00
0,53.64,72.00
0,54.84,72.00
0,56.03,75.00
0,57.22,75.00
0,58.41,72.00
0,59.60,72.00
0,60.80,75.00
0,61.99,159.00
0,63.18,196.00
0,64.37,95.00
0,65.57,87.00
0,66.76,84.00
0,67.95,84.00
0,69.14,87.00
0,70.33,84.00
0,71.53,87.00
0,72.72,92.00
0,73.91,84.00
0,75.10,88.00
0,76.29,92.00
0,77.49,88.00
0,78.68,91.00
0,79.87,88.00
0,81.06,88.00
0,82.25,91.00
0,83.45,91.00
0,84.64,88.00
0,85.83,95.00
0,87.02,92.00
0,88.21,92.00
0,89.41,95.00
0,90.60,95.00
0,91.79,95.00
0,92.98,96.00
0,94.18,96.00
0,95.37,99.00
0,96.56,99.00
1,1.19,69.00
1,2.38,27.00
1,3.58,31.00
1,4.77,32.00
1,5.96,32.00
1,7.15,35.00
1,8.34,32.00
1,9.54,32.00
1,10.73,32.00
1,11.92,35.00
1,13.11,35.00
1,14.31,36.00
1,15.50,36.00
1,16.69,39.00
1,17.88,39.00
1,19.07,40.00
1,20.27,43.00
1,21.46,43.00
1,22.65,43.00
1,23.84,44.00
1,25.03,44.00
1,26.23,44.00
1,27.42,47.00
1,28.61,47.00
1,29.80,48.00
1,30.99,51.00
1,32.19,51.00
1,33.38,51.00
1,34.57,52.00
1,35.76,55.00
1,36.95,55.00
1,38.15,56.00
1,39.34,56.00
1,40.53,56.00
1,41.72,63.00
1,42.92,71.00
1,44.11,68.00
1,45.30,68.00
1,46.49,67.00
1,47.68,68.00
1,48.88,67.00
1,50.07,71.00
1,51.26,68.00
1,52.45,68.00
1,53.64,68.00
1,54.84,68.00
1,56.03,71.00
1,57.22,71.00
1,58.41,71.00
1,59.60,72.00
1,60.80,72.00
1,61.99,75.00
1,63.18,72.00
1,64.37,75.00
1,65.57,76.00
1,66.76,76.00
1,67.95,79.00
1,69.14,79.00
1,70.33,83.00
1,71.53,80.00
1,72.72,83.00
1,73.91,83.00
1,75.10,92.00
1,76.29,95.00
1,77.49,91.00
1,78.68,99.00
1,79.87,100.00
1,81.06,95.00
1,82.25,96.00
1,83.45,95.00
1,84.64,111.00
1,85.83,103.00
1,87.02,100.00
1,88.21,111.00
1,89.41,103.00
1,90.60,104.00
1,91.79,96.00
1,92.98,104.00
1,94.18,108.00
1,95.37,124.00
1,96.56,111.00
2,1.19,59.00
2,2.38,27.00
2,3.58,28.00
2,4.77,31.00
2,5.96,28.00
2,7.15,31.00
2,8.34,32.00
2,9.54,35.00
2,10.73,35.00
2,11.92,36.00
2,13.11,39.00
2,14.31,36.00
2,15.50,36.00
2,16.69,39.00
2,17.88,39.00
2,19.07,43.00
2,20.27,40.00
2,21.46,43.00
2,22.65,44.00
2,23.84,47.00
2,25.03,59.00
2,26.23,55.00
2,27.42,52.00
2,28.61,52.00
2,29.80,52.00
2,30.99,55.00
2,32.19,55.00
2,33.38,55.00
2,34.57,60.00
2,35.76,67.00
2,36.95,71.00
2,38.15,71.00
2,39.34,68.00
2,40.53,67.00
2,41.72,67.00
2,42.92,64.00
2,44.11,67.00
2,45.30,71.00
2,46.49,68.00
2,47.68,72.00
2,48.88,72.00
2,50.07,71.00
2,51.26,72.00
2,52.45,72.00
2,53.64,72.00
2,54.84,72.00
2,56.03,71.00
2,57.22,72.00
2,58.41,75.00
2,59.60,72.00
2,60.80,75.00
2,61.99,75.00
2,63.18,76.00
2,64.37,79.00
2,65.57,79.00
2,66.76,79.00
2,67.95,83.00
2,69.14,92.00
2,70.33,91.00
2,71.53,88.00
2,72.72,87.00
2,73.91,88.00
2,75.10,99.00
2,76.29,95.00
2,77.49,96.00
2,78.68,95.00
2,79.87,91.00
2,81.06,96.00
2,82.25,95.00
2,83.45,96.00
2,84.64,99.00
2,85.83,99.00
2,87.02,99.00
2,88.21,99.00
2,89.41,96.00
2,90.60,99.00
2,91.79,96.00
2,92.98,99.00
2,94.18,119.00
2,95.37,116.00
2,96.56,119.00
3,1.19,84.00
3,2.38,31.00
3,3.58,28.00
3,4.77,31.00
3,5.96,31.00
3,7.15,32.00
3,8.34,35.00
3,9.54,35.00
3,10.73,43.00
3,11.92,43.00
3,13.11,40.00
3,14.31,44.00
3,15.50,44.00
3,16.69,43.00
3,17.88,43.00
3,19.07,44.00
3,20.27,47.00
3,21.46,48.00
3,22.65,55.00
3,23.84,52.00
3,25.03,52.00
3,26.23,52.00
3,27.42,55.00
3,28.61,51.00
3,29.80,56.00
3,30.99,59.00
3,32.19,59.00
3,33.38,59.00
3,34.57,56.00
3,35.76,59.00
3,36.95,60.00
3,38.15,60.00
3,39.34,63.00
3,40.53,60.00
3,41.72,64.00
3,42.92,67.00
3,44.11,67.00
3,45.30,68.00
3,46.49,68.00
3,47.68,71.00
3,48.88,68.00
3,50.07,71.00
3,51.26,75.00
3,52.45,75.00
3,53.64,75.00
3,54.84,72.00
3,56.03,75.00
3,57.22,75.00
3,58.41,72.00
3,59.60,72.00
3,60.80,75.00
3,61.99,79.00
3,63.18,80.00
3,64.37,87.00
3,65.57,95.00
3,66.76,90.00
3,67.95,87.00
3,69.14,95.00
3,70.33,92.00
3,71.53,92.00
3,72.72,95.00
3,73.91,91.00
3,75.10,92.00
3,76.29,95.00
3,77.49,92.00
3,78.68,92.00
3,79.87,92.00
3,81.06,95.00
3,82.25,99.00
3,83.45,100.00
3,84.64,99.00
3,85.83,99.00
3,87.02,99.00
3,88.21,99.00
3,89.41,96.00
3,90.60,99.00
3,91.79,99.00
3,92.98,99.00
3,94.18,100.00
3,95.37,112.00
3,96.56,108.00
4,1.19,68.00
4,2.38,27.00
4,3.58,28.00
4,4.77,28.00
4,5.96,35.00
4,7.15,39.00
4,8.34,36.00
4,9.54,40.00
4,10.73,40.00
4,11.92,43.00
4,13.11,40.00
4,14.31,40.00
4,15.50,48.00
4,16.69,47.00
4,17.88,47.00
4,19.07,48.00
4,20.27,48.00
4,21.46,55.00
4,22.65,52.00
4,23.84,55.00
4,25.03,52.00
4,26.23,52.00
4,27.42,56.00
4,28.61,59.00
4,29.80,56.00
4,30.99,59.00
4,32.19,60.00
4,33.38,63.00
4,34.57,60.00
4,35.76,63.00
4,36.95,63.00
4,38.15,60.00
4,39.34,60.00
4,40.53,63.00
4,41.72,67.00
4,42.92,67.00
4,44.11,68.00
4,45.30,68.00
4,46.49,71.00
4,47.68,68.00
4,48.88,68.00
4,50.07,71.00
4,51.26,71.00
4,52.45,71.00
4,53.64,71.00
4,54.84,72.00
4,56.03,72.00
4,57.22,75.00
4,58.41,72.00
4,59.60,75.00
4,60.80,72.00
4,61.99,75.00
4,63.18,72.00
4,64.37,80.00
4,65.57,84.00
4,66.76,84.00
4,67.95,83.00
4,69.14,84.00
4,70.33,84.00
4,71.53,95.00
4,72.72,88.00
4,73.91,84.00
4,75.10,88.00
4,76.29,87.00
4,77.49,87.00
4,78.68,87.00
4,79.87,87.00
4,81.06,88.00
4,82.25,88.00
4,83.45,99.00
4,84.64,112.00
4,85.83,96.00
4,87.02,96.00
4,88.21,96.00
4,89.41,119.00
4,90.60,104.00
4,91.79,107.00
4,92.98,100.00
4,94.18,107.00
4,95.37,108.00
4,96.56,107.00
5,1.19,73.00
5,2.38,35.00
5,3.58,32.00
5,4.77,35.00
5,5.96,35.00
5,7.15,35.00
5,8.34,36.00
5,9.54,39.00
5,10.73,40.00
5,11.92,36.00
5,13.11,39.00
5,14.31,39.00
5,15.50,47.00
5,16.69,51.00
5,17.88,47.00
5,19.07,43.00
5,20.27,48.00
5,21.46,48.00
5,22.65,51.00
5,23.84,48.00
5,25.03,48.00
5,26.23,48.00
5,27.42,48.00
5,28.61,55.00
5,29.80,59.00
5,30.99,56.00
5,32.19,55.00
5,33.38,60.00
5,34.57,64.00
5,35.76,60.00
5,36.95,60.00
5,38.15,64.00
5,39.34,64.00
5,40.53,64.00
5,41.72,68.00
5,42.92,68.00
5,44.11,68.00
5,45.30,68.00
5,46.49,71.00
5,47.68,68.00
5,48.88,67.00
5,50.07,64.00
5,51.26,67.00
5,52.45,67.00
5,53.64,68.00
5,54.84,71.00
5,56.03,68.00
5,57.22,71.00
5,58.41,72.00
5,59.60,72.00
5,60.80,72.00
5,61.99,75.00
5,63.18,75.00
5,64.37,75.00
5,65.57,76.00
5,66.76,79.00
5,67.95,80.00
5,69.14,83.00
5,70.33,80.00
5,71.53,80.00
5,72.72,87.00
5,73.91,91.00
5,75.10,88.00
5,76.29,95.00
5,77.49,92.00
5,78.68,91.00
5,79.87,91.00
5,81.06,92.00
5,82.25,91.00
5,83.45,91.00
5,84.64,92.00
5,85.83,92.00
5,87.02,95.00
5,88.21,92.00
5,89.41,95.00
5,90.60,95.00
5,91.79,96.00
5,92.98,96.00
5,94.18,96.00
5,95.37,96.00
5,96.56,111.00
6,1.19,59.00
6,2.38,32.00
6,3.58,36.00
6,4.77,35.00
6,5.96,36.00
6,7.15,44.00
6,8.34,40.00
6,9.54,44.00
6,10.73,43.00
6,11.92,44.00
6,13.11,47.00
6,14.31,44.00
6,15.50,44.00
6,16.69,47.00
6,17.88,51.00
6,19.07,47.00
6,20.27,51.00
6,21.46,56.00
6,22.65,55.00
6,23.84,51.00
6,25.03,52.00
6,26.23,55.00
6,27.42,51.00
6,28.61,60.00
6,29.80,56.00
6,30.99,56.00
6,32.19,59.00
6,33.38,64.00
6,34.57,67.00
6,35.76,71.00
6,36.95,68.00
6,38.15,67.00
6,39.34,75.00
6,40.53,76.00
6,41.72,72.00
6,42.92,71.00
6,44.11,68.00
6,45.30,68.00
6,46.49,67.00
6,47.68,67.00
6,48.88,71.00
6,50.07,80.00
6,51.26,72.00
6,52.45,71.00
6,53.64,75.00
6,54.84,75.00
6,56.03,75.00
6,57.22,76.00
6,58.41,88.00
6,59.60,76.00
6,60.80,76.00
6,61.99,87.00
6,63.18,84.00
6,64.37,84.00
6,65.57,87.00
6,66.76,84.00
6,67.95,84.00
6,69.14,84.00
6,70.33,95.00
6,71.53,88.00
6,72.72,88.00
6,73.91,99.00
6,75.10,96.00
6,76.29,95.00
6,77.49,96.00
6,78.68,99.00
6,79.87,96.00
6,81.06,95.00
6,82.25,99.00
6,83.45,99.00
6,84.64,96.00
6,85.83,96.00
6,87.02,99.00
6,88.21,96.00
6,89.41,96.00
6,90.60,99.00
6,91.79,100.00
6,92.98,111.00
6,94.18,107.00
6,95.37,147.00
6,96.56,97.00
6,0.00,0.00
7,1.19,54.00
7,2.38,32.00
7,3.58,35.00
7,4.77,39.00
7,5.96,35.00
7,7.15,35.00
7,8.34,36.00
7,9.54,36.00
7,10.73,43.00
7,11.92,44.00
7,13.11,44.00
7,14.31,40.00
7,15.50,43.00
7,16.69,40.00
7,17.88,40.00
7,19.07,44.00
7,20.27,51.00
7,21.46,55.00
7,22.65,48.00
7,23.84,48.00
7,25.03,44.00
7,26.23,52.00
7,27.42,60.00
7,28.61,52.00
7,29.80,51.00
7,30.99,55.00
7,32.19,56.00
7,33.38,60.00
7,34.57,56.00
7,35.76,63.00
7,36.95,63.00
7,38.15,64.00
7,39.34,67.00
7,40.53,63.00
7,41.72,63.00
7,42.92,32.00
7,44.11,68.00
7,45.30,75.00
7,46.49,68.00
7,47.68,71.00
7,48.88,68.00
7,50.07,71.00
7,51.26,71.00
7,52.45,72.00
7,53.64,72.00
7,54.84,71.00
7,56.03,71.00
7,57.22,71.00
7,58.41,72.00
7,59.60,71.00
7,60.80,75.00
7,61.99,72.00
7,63.18,75.00
7,64.37,75.00
7,65.57,76.00
7,66.76,79.00
7,67.95,79.00
7,69.14,80.00
7,70.33,80.00
7,71.53,91.00
7,72.72,92.00
7,73.91,91.00
7,75.10,88.00
7,76.29,88.00
7,77.49,91.00
7,78.68,95.00
7,79.87,100.00
7,81.06,96.00
7,82.25,96.00
7,83.45,100.00
7,84.64,96.00
7,85.83,95.00
7,87.02,95.00
7,88.21,92.00
7,89.41,107.00
7,90.60,103.00
7,91.79,108.00
7,92.98,112.00
7,94.18,107.00
7,95.37,104.00
7,96.56,104.00
7,0.00,0.00
8,1.19,68.00
8,2.38,24.00
8,3.58,31.00
8,4.77,28.00
8,5.96,28.00
8,7.15,35.00
8,8.34,35.00
8,9.54,32.00
8,10.73,35.00
8,11.92,35.00
8,13.11,36.00
8,14.31,36.00
8,15.50,39.00
8,16.69,39.00
8,17.88,39.00
8,19.07,40.00
8,20.27,43.00
8,21.46,43.00
8,22.65,43.00
8,23.84,44.00
8,25.03,48.00
8,26.23,47.00
8,27.42,47.00
8,28.61,51.00
8,29.80,48.00
8,30.99,48.00
8,32.19,48.00
8,33.38,52.00
8,34.57,52.00
8,35.76,55.00
8,36.95,55.00
8,38.15,59.00
8,39.34,67.00
8,40.53,64.00
8,41.72,63.00
8,42.92,68.00
8,44.11,68.00
8,45.30,67.00
8,46.49,68.00
8,47.68,71.00
8,48.88,71.00
8,50.07,71.00
8,51.26,71.00
8,52.45,71.00
8,53.64,68.00
8,54.84,68.00
8,56.03,71.00
8,57.22,75.00
8,58.41,75.00
8,59.60,75.00
8,60.80,75.00
8,61.99,75.00
8,63.18,76.00
8,64.37,88.00
8,65.57,87.00
8,66.76,84.00
8,67.95,87.00
8,69.14,88.00
8,70.33,88.00
8,71.53,92.00
8,72.72,95.00
8,73.91,91.00
8,75.10,92.00
8,76.29,92.00
8,77.49,92.00
8,78.68,92.00
8,79.87,99.00
8,81.06,95.00
8,82.25,95.00
8,83.45,92.00
8,84.64,95.00
8,85.83,95.00
8,87.02,95.00
8,88.21,108.00
8,89.41,99.00
8,90.60,103.00
8,91.79,104.00
8,92.98,107.00
8,94.18,104.00
8,95.37,104.00
8,96.56,107.00
8,0.00,0.00
